investor_id,transaction_date,amfi_code,transaction_type,amount_inr,state,city,city_tier,age_group,gender,annual_income_lakh,payment_mode,kyc_status
INV003054,2024-01-01,119092,Sip,1834,Telangana,Hyderabad,T30,56+,Female,77.1,UPI,Verified
INV002952,2024-01-01,148567,Redemption,392882,Punjab,Amritsar,B30,18-25,Male,7.1,Cheque,Verified
INV003420,2024-01-01,118636,Sip,912,Haryana,Faridabad,B30,36-45,Male,47.2,Mandate,Verified
INV003436,2024-01-01,118634,Sip,1102,Maharashtra,Mumbai,T30,36-45,Female,54.4,Cheque,Pending
INV004691,2024-01-01,119094,Lumpsum,8682,Delhi,Noida,T30,26-35,Male,14.5,Net Banking,Pending
INV001497,2024-01-01,101208,Sip,3295,Maharashtra,Mumbai,T30,36-45,Male,56.8,Mandate,Verified
INV000786,2024-01-01,101208,Sip,15047,Madhya Pradesh,Bhopal,B30,26-35,Male,17.9,Mandate,Verified
INV000616,2024-01-01,100016,Sip,933,Maharashtra,Nashik,B30,36-45,Male,50.4,Mandate,Verified
INV003670,2024-01-01,119120,Sip,10672,Punjab,Chandigarh,T30,36-45,Male,38.4,Net Banking,Verified
INV002054,2024-01-01,148567,Sip,1111,Telangana,Hyderabad,T30,26-35,Male,17.8,Net Banking,Verified
INV002592,2024-01-01,101208,Lumpsum,411860,Madhya Pradesh,Bhopal,B30,26-35,Female,15.7,Mandate,Verified
INV001023,2024-01-01,118636,Sip,4865,Gujarat,Ahmedabad,T30,36-45,Male,27.1,Net Banking,Verified
INV002893,2024-01-01,120843,Sip,8472,Telangana,Hyderabad,T30,56+,Male,69.4,UPI,Pending
INV000797,2024-01-01,102885,Sip,58257,Rajasthan,Jaipur,T30,36-45,Female,53.7,Net Banking,Verified
INV000368,2024-01-01,118636,Redemption,339882,Uttar Pradesh,Agra,B30,26-35,Male,16.2,UPI,Verified
INV000548,2024-01-01,119095,Sip,1607,Karnataka,Mysore,B30,36-45,Male,53.2,Cheque,Verified
INV000600,2024-01-01,149322,Sip,20890,Maharashtra,Mumbai,T30,26-35,Male,17.3,Net Banking,Verified
INV004347,2024-01-01,119599,Sip,1862,West Bengal,Kolkata,T30,36-45,Male,20.5,Net Banking,Verified
INV000437,2024-01-01,120504,Sip,900,Telangana,Hyderabad,T30,26-35,Female,6.1,UPI,Verified
INV000609,2024-01-01,120842,Sip,8493,Tamil Nadu,Coimbatore,B30,18-25,Male,3.9,Mandate,Verified
INV000428,2024-01-01,118636,Sip,9146,Delhi,Gurugram,T30,36-45,Male,27.2,Mandate,Verified
INV003329,2024-01-01,101207,Lumpsum,295055,Madhya Pradesh,Indore,T30,56+,Male,25.2,Mandate,Verified
INV000968,2024-01-01,100025,Lumpsum,497564,Tamil Nadu,Chennai,T30,36-45,Female,37.1,UPI,Verified
INV004154,2024-01-01,102885,Sip,1897,Karnataka,Mysore,B30,18-25,Male,4.7,Net Banking,Verified
INV000234,2024-01-01,148567,Sip,28094,Tamil Nadu,Coimbatore,B30,26-35,Male,23.8,Mandate,Verified
INV002885,2024-01-01,148567,Lumpsum,430566,Delhi,Gurugram,T30,26-35,Male,23.4,Cheque,Pending
INV002157,2024-01-01,102885,Lumpsum,112928,Punjab,Chandigarh,T30,26-35,Male,16.9,Mandate,Verified
INV001665,2024-01-01,120505,Sip,3322,Telangana,Hyderabad,T30,36-45,Male,35.1,Mandate,Verified
INV002328,2024-01-01,120841,Sip,29901,Haryana,Gurugram,T30,26-35,Male,11.6,Cheque,Verified
INV004174,2024-01-01,119599,Sip,57353,Rajasthan,Udaipur,B30,18-25,Male,4.7,Mandate,Verified
INV004918,2024-01-01,120503,Redemption,153828,Punjab,Amritsar,B30,56+,Female,46.9,UPI,Verified
INV000478,2024-01-01,120506,Sip,59382,Gujarat,Surat,T30,36-45,Female,16.5,UPI,Verified
INV000467,2024-01-01,119552,Sip,2623,Karnataka,Bangalore,T30,18-25,Female,7.1,Cheque,Verified
INV000603,2024-01-01,118636,Sip,2858,West Bengal,Kolkata,T30,26-35,Male,17.3,Mandate,Verified
