amfi_code,cagr,sharpe,alpha,beta,max_drawdown,return_rank,sharpe_rank,alpha_rank,dd_rank,expense_ratio_pct,expense_rank,score
120505,0.3280159948038617,297.3855018104836,0.2898415116975306,-0.008746902862796906,-0.18188513572116294,1.0,0.9,0.9,0.625,1.36,0.65,86.50000000000001
119598,0.3239808398464554,238.21768089393362,0.2985284761680182,-0.055796228694847384,-0.2870600572176455,0.975,0.675,0.975,0.9,1.43,0.5,82.12499999999999
149324,0.3226210752841656,239.34854781472396,0.3016956341567518,0.031855918868490124,-0.31171900300634214,0.95,0.7,1.0,0.925,1.52,0.3625,80.68749999999999
120843,0.30883325525154603,329.2994803247959,0.29736220371145244,-0.018426154072279557,-0.1297396816518679,0.875,0.975,0.95,0.325,1.45,0.475,80.0
148567,0.30949920362874206,364.96937492221747,0.29731601176050343,0.030625022866343138,-0.11265729075028275,0.9,1.0,0.925,0.2,1.46,0.45,79.25000000000001
100033,0.30099703552874524,275.612083370727,0.2529290800424918,0.008679822555158399,-0.16217208574644848,0.85,0.85,0.825,0.5,1.38,0.6,77.25000000000001
119094,0.28192608222062465,251.55420868963765,0.26034225143139134,-0.06058940222385512,-0.20960883862039192,0.8,0.75,0.85,0.7,1.38,0.6,75.75
148569,0.31924485848158723,311.20236649513106,0.2439148080793037,0.005171889890753605,-0.1639674294693263,0.925,0.95,0.775,0.525,1.6,0.1125,73.9375
149323,0.29558105232568344,285.2947068236306,0.2656054248257174,-0.010759482749813002,-0.17248105753451382,0.825,0.875,0.875,0.55,1.61,0.075,70.75
120504,0.2327744753273051,258.68411976942366,0.2448490281964411,0.02440937900458046,-0.12588275606922517,0.7,0.775,0.8,0.3,0.8,0.725,70.25
119551,0.2578492084946409,304.4831749779248,0.21166416365943055,-0.05480497085446819,-0.1501238549864533,0.775,0.925,0.725,0.425,1.54,0.2625,69.0625
118632,0.2403119561352478,272.57811319511745,0.20848986123262453,0.0010396699725219551,-0.17414075086657232,0.75,0.825,0.7,0.575,1.51,0.4125,69.0625
119552,0.21508021785499332,240.22643321023463,0.20290254358020343,-0.016522867200870837,-0.11803493502764295,0.65,0.725,0.675,0.275,0.66,0.925,67.75
148568,0.22499840384352243,233.42441137747568,0.21908564914749773,-0.015708259934671055,-0.1527259422823477,0.675,0.65,0.75,0.475,1.52,0.3625,61.68749999999999
125497,0.19003613208378556,195.4991429549224,0.1590982434643071,0.06540733623324163,-0.15200013055606398,0.625,0.575,0.525,0.45,0.92,0.675,58.250000000000014
101206,0.23520488754230384,258.85775862459315,0.16868842630352426,0.02494085049013347,-0.11291596329323073,0.725,0.8,0.575,0.225,1.6,0.1125,57.18749999999999
120503,0.18771330105513617,201.08916036853174,0.17410539440747957,-0.04373422900616323,-0.13897862823061635,0.6,0.6,0.6,0.35,1.42,0.525,56.375
120506,0.17072227512921923,163.51745143228823,0.15384797508175888,0.025354018500222664,-0.1982565826298267,0.55,0.525,0.5,0.675,1.41,0.55,54.625
118633,0.16262218000296524,162.59227444991703,0.14357635971101393,-0.03722654769286335,-0.18629743138595511,0.475,0.5,0.4,0.65,0.72,0.8875,54.5625
118635,0.15945481185082522,167.5439636343636,0.16240676077276034,0.0004286414050250436,-0.1165062450540909,0.45,0.55,0.55,0.25,0.89,0.7,51.25000000000001
102885,0.18218826089343754,205.90903301205807,0.17459240977555238,-0.03482162189097678,-0.1085986215250232,0.575,0.625,0.625,0.175,1.57,0.175,49.75
102887,0.16828673461948984,156.11843270091168,0.1846193730299904,0.021607791427445504,-0.21539827112383225,0.525,0.475,0.65,0.75,1.64,0.0375,48.6875
118634,0.16361396476593382,113.00537024506583,0.14588881346800736,0.09904955062553727,-0.2334488614483311,0.5,0.375,0.425,0.8,1.53,0.3125,45.5625
125498,0.11293660210400969,75.75420410272206,0.08961172388723472,0.00707489229259028,-0.21117279560132118,0.375,0.35,0.325,0.725,0.78,0.775,45.375
119093,0.07891944369437343,32.66285348508671,0.08318483970750438,0.019505834856040332,-0.21751396370148224,0.325,0.3,0.3,0.775,0.75,0.825,43.375
101207,0.07933120999915699,40.99051386018987,0.14831879771543227,-0.06895967800955322,-0.3544691649336603,0.35,0.325,0.45,0.95,1.53,0.3125,41.8125
149322,0.13383520958789363,116.9374372035604,0.14944045693567853,-0.008894443916089697,-0.14844576917771746,0.4,0.4,0.475,0.4,1.54,0.2625,39.4375
120841,0.13522349085511554,124.55667954254322,0.11300540533006706,0.049096593031128725,-0.1757361416468729,0.425,0.425,0.375,0.6,1.59,0.15,39.12500000000001
120507,0.0723241093234459,124.92229502423471,0.06676842159221265,-2.4725060886059477e-05,-0.0009773140045925555,0.3,0.45,0.25,0.025,0.74,0.85,38.25
119599,0.02053064146209893,-14.41102970870135,0.02129073965487891,0.05297069094448307,-0.5257422117012851,0.075,0.225,0.025,1.0,0.72,0.8875,31.6875
120844,0.0691037983940288,-22.364318646324367,0.06388619912727594,-0.00037650666438143217,-0.0011629327956168556,0.275,0.175,0.2,0.05,0.6,0.95,31.374999999999996
